ds,yhat,yhat_lower,yhat_upper
2014-04-04,57.66363637932015,-29.725182993977313,139.18390817790396
2014-04-05,107.11567884560411,28.401706869547006,190.34168080362195
2014-04-06,63.3426628044152,-18.955950556058056,151.45001935422465
2014-04-07,36.57402209966324,-46.01391909618531,125.31587832105505
2014-04-08,34.78129455050785,-46.95157326050528,126.26670322936764
2014-04-09,59.931251716238826,-26.232692566032746,143.90430572824712
2014-04-10,49.60367074359081,-30.841849226652215,136.24381842303524
2014-04-11,65.18598891584496,-15.577834396847164,154.8602863538581
2014-04-12,117.90282477088873,28.71547896428306,195.68068944233912
2014-04-13,77.16022830706233,-9.863196063812088,158.98177659261472
2014-04-14,53.11721717318057,-29.712730903021164,136.53911976958923
2014-04-15,53.681418963375265,-22.078029437220543,139.3119674043482
